Date,Day,Hospital,Waiting Time,Attendance,BOR,Is_Holiday
2023-01-01,Sunday,AH,1.6,64.0,80.5,1
2023-01-01,Sunday,CGH,7.7,351.0,89.6,1
2023-01-01,Sunday,KTPH,2.9,286.0,96.4,1
2023-01-01,Sunday,NTFGH,7.9,252.0,91.1,1
2023-01-01,Sunday,NUH(A),2.1,257.0,78.3,1
2023-01-01,Sunday,SGH,1.3,309.0,79.3,1
2023-01-01,Sunday,SKH,3.0,333.0,86.0,1
2023-01-01,Sunday,TTSH,3.8,336.0,91.2,1
2023-01-01,Sunday,WH,,,,1
2023-01-02,Monday,AH,2.0,61.0,84.8,0
2023-01-02,Monday,CGH,12.7,386.0,90.6,0
2023-01-02,Monday,KTPH,12.2,326.0,97.9,0
2023-01-02,Monday,NTFGH,4.2,314.0,92.0,0
2023-01-02,Monday,NUH(A),2.5,334.0,82.8,0
2023-01-02,Monday,SGH,2.5,342.0,84.0,0
2023-01-02,Monday,SKH,2.7,346.0,87.5,0
2023-01-02,Monday,TTSH,4.4,370.0,95.9,0
2023-01-02,Monday,WH,,,,0
2023-01-03,Tuesday,AH,2.1,76.0,92.9,0
2023-01-03,Tuesday,CGH,16.0,436.0,89.8,0
2023-01-03,Tuesday,KTPH,12.9,401.0,98.4,0
2023-01-03,Tuesday,NTFGH,22.8,364.0,91.9,0
2023-01-03,Tuesday,NUH(A),4.0,352.0,86.7,0
2023-01-03,Tuesday,SGH,9.3,343.0,88.4,0
2023-01-03,Tuesday,SKH,5.0,397.0,88.6,0
2023-01-03,Tuesday,TTSH,4.9,422.0,96.7,0
2023-01-03,Tuesday,WH,,,,0
2023-01-04,Wednesday,AH,2.5,74.0,91.1,0
2023-01-04,Wednesday,CGH,16.3,354.0,87.7,0
2023-01-04,Wednesday,KTPH,21.4,311.0,96.4,0
2023-01-04,Wednesday,NTFGH,14.7,330.0,89.9,0
2023-01-04,Wednesday,NUH(A),8.2,286.0,86.6,0
2023-01-04,Wednesday,SGH,11.6,305.0,90.2,0
2023-01-04,Wednesday,SKH,10.3,327.0,89.5,0
2023-01-04,Wednesday,TTSH,6.9,361.0,97.7,0
2023-01-04,Wednesday,WH,,,,0
2023-01-05,Thursday,AH,2.4,61.0,92.9,0
2023-01-05,Thursday,CGH,21.5,373.0,89.5,0
2023-01-05,Thursday,KTPH,20.7,335.0,95.1,0
2023-01-05,Thursday,NTFGH,18.0,320.0,89.2,0
2023-01-05,Thursday,NUH(A),5.2,309.0,88.2,0
2023-01-05,Thursday,SGH,11.7,337.0,90.8,0
2023-01-05,Thursday,SKH,7.9,351.0,90.2,0
2023-01-05,Thursday,TTSH,5.0,366.0,96.9,0
2023-01-05,Thursday,WH,,,,0
2023-01-06,Friday,AH,2.8,49.0,91.1,0
2023-01-06,Friday,CGH,18.3,353.0,87.9,0
2023-01-06,Friday,KTPH,20.0,305.0,93.8,0
2023-01-06,Friday,NTFGH,8.2,287.0,89.0,0
2023-01-06,Friday,NUH(A),6.4,304.0,86.2,0
2023-01-06,Friday,SGH,6.8,302.0,86.1,0
2023-01-06,Friday,SKH,4.8,340.0,89.7,0
2023-01-06,Friday,TTSH,4.9,350.0,95.7,0
2023-01-06,Friday,WH,,,,0
2023-01-07,Saturday,AH,1.3,48.0,68.4,0
2023-01-07,Saturday,CGH,11.5,296.0,89.2,0
2023-01-07,Saturday,KTPH,6.8,296.0,98.1,0
2023-01-07,Saturday,NTFGH,2.4,274.0,89.4,0
2023-01-07,Saturday,NUH(A),3.7,268.0,83.4,0
2023-01-07,Saturday,SGH,1.7,286.0,81.6,0
2023-01-07,Saturday,SKH,7.7,309.0,87.7,0
2023-01-07,Saturday,TTSH,5.1,391.0,95.0,0
