Date,north,south,east,west,central,PSI_Max,PSI_Avg
2014-04-01,60,58,59,67,59,67,60.6
2014-04-02,58,56,57,64,58,64,58.6
2014-04-03,57,54,54,63,57,63,57.0
2014-04-04,62,63,63,59,64,64,62.2
2014-04-05,67,66,68,62,68,68,66.2
2014-04-06,58,59,59,54,59,59,57.8
2014-04-07,53,53,54,54,52,54,53.2
2014-04-08,60,57,55,59,57,60,57.6
2014-04-09,62,56,60,60,59,62,59.4
2014-04-10,62,57,61,60,60,62,60.0
2014-04-11,65,61,62,62,61,65,62.2
2014-04-12,63,60,62,61,61,63,61.4
2014-04-13,61,59,58,61,60,61,59.8
2014-04-14,63,59,55,65,60,65,60.4
2014-04-15,69,67,70,66,67,70,67.8
2014-04-16,69,66,68,63,66,69,66.4
2014-04-17,74,67,71,69,71,74,70.4
2014-04-18,73,67,72,69,71,73,70.4
2014-04-19,73,62,64,64,65,73,65.6
2014-04-20,71,61,64,64,65,71,65.0
2014-04-21,65,64,65,59,62,65,63.0
2014-04-22,65,63,67,58,60,67,62.6
2014-04-23,65,63,67,62,63,67,64.0
2014-04-24,62,61,59,61,60,62,60.6
2014-04-25,67,62,68,68,66,68,66.2
2014-04-26,72,67,69,74,71,74,70.6
2014-04-27,69,64,62,71,68,71,66.8
2014-04-28,64,63,64,69,67,69,65.4
2014-04-29,64,62,63,63,63,64,63.0
2014-04-30,73,68,73,66,68,73,69.6
2014-05-01,72,64,66,69,66,72,67.4
2014-05-02,59,54,53,55,59,59,56.0
2014-05-03,57,51,47,56,53,57,52.8
2014-05-04,60,46,54,58,56,60,54.8
2014-05-05,57,53,54,61,56,61,56.2
2014-05-06,56,52,51,59,54,59,54.4
2014-05-07,55,54,53,58,52,58,54.4
2014-05-08,57,54,55,53,56,57,55.0
2014-05-09,74,68,66,71,73,74,70.4
2014-05-10,67,63,62,70,65,70,65.4
2014-05-11,58,54,58,60,58,60,57.6
2014-05-12,63,56,60,62,60,63,60.2
2014-05-13,66,61,61,60,62,66,62.0
2014-05-14,67,62,63,58,65,67,63.0
2014-05-15,60,53,57,53,58,60,56.2
2014-05-16,57,52,46,55,53,57,52.6
2014-05-17,54,52,48,55,53,55,52.4
2014-05-18,53,43,38,40,50,53,44.8
2014-05-19,54,49,51,52,52,54,51.6
2014-05-20,52,46,46,53,51,53,49.6
2014-05-21,67,63,65,58,64,67,63.4
2014-05-22,70,63,65,69,68,70,67.0
2014-05-23,61,54,55,62,59,62,58.2
2014-05-24,61,58,55,59,57,61,58.0
2014-05-25,57,55,52,56,54,57,54.8
2014-05-26,54,42,40,53,39,54,45.6
2014-05-27,67,62,63,56,60,67,61.6
2014-05-28,65,61,61,52,59,65,59.6
2014-05-29,60,56,59,60,58,60,58.6
2014-05-30,62,57,60,61,61,62,60.2
2014-05-31,59,57,57,53,59,59,57.0
2014-06-01,45,36,40,44,43,45,41.6
2014-06-02,54,51,47,58,51,58,52.2
2014-06-03,54,52,49,58,52,58,53.0
2014-06-04,55,52,45,56,52,56,52.0
2014-06-05,55,49,48,54,52,55,51.6
2014-06-06,55,51,51,44,52,55,50.6
2014-06-07,63,56,58,56,56,63,57.8
2014-06-08,57,50,52,54,53,57,53.2
2014-06-09,53,51,45,54,45,54,49.6
2014-06-10,62,53,53,65,55,65,57.6
2014-06-11,61,52,52,62,56,62,56.6
2014-06-12,52,47,51,53,52,53,51.0
2014-06-13,55,55,55,58,55,58,55.6
2014-06-14,54,53,54,56,53,56,54.0
2014-06-15,46,50,47,54,47,54,48.8
2014-06-16,53,53,54,54,52,54,53.2
2014-06-17,52,51,53,53,52,53,52.2
2014-06-18,48,49,45,53,50,53,49.0
2014-06-19,53,52,49,52,51,53,51.4
2014-06-20,53,51,51,54,52,54,52.2
2014-06-21,55,53,53,56,54,56,54.2
2014-06-22,62,59,62,61,62,62,61.2
2014-06-23,63,59,62,61,62,63,61.4
2014-06-24,64,61,65,65,64,65,63.8
2014-06-25,61,58,60,65,60,65,60.8
2014-06-26,50,52,46,55,46,55,49.8
2014-06-27,55,53,53,54,52,55,53.4
2014-06-28,59,56,53,58,56,59,56.4
2014-06-29,59,55,53,58,56,59,56.2
2014-06-30,61,55,57,56,58,61,57.4
2014-07-01,54,52,52,56,54,56,53.6
2014-07-02,59,53,54,60,56,60,56.4
2014-07-03,64,60,60,63,59,64,61.2
2014-07-04,64,60,60,63,60,64,61.4
2014-07-05,61,59,59,64,61,64,60.8
2014-07-06,62,59,54,59,58,62,58.4
2014-07-07,55,55,52,56,52,56,54.0
2014-07-08,56,54,53,56,54,56,54.6
2014-07-09,56,54,53,56,55,56,54.8
2014-07-10,54,47,51,57,49,57,51.6
2014-07-11,56,55,52,59,53,59,55.0
2014-07-12,57,55,56,58,55,58,56.2
2014-07-13,57,54,56,51,55,57,54.6
2014-07-14,55,53,52,54,52,55,53.2
2014-07-15,56,56,56,58,54,58,56.0
2014-07-16,57,54,55,58,54,58,55.6
2014-07-17,63,56,57,64,57,64,59.4
2014-07-18,62,55,56,59,57,62,57.8
2014-07-19,57,55,53,57,55,57,55.4
2014-07-20,56,53,52,55,52,56,53.6
2014-07-21,52,50,50,54,51,54,51.4
2014-07-22,48,49,49,53,49,53,49.6
2014-07-23,53,54,54,57,54,57,54.4
2014-07-24,59,56,57,60,55,60,57.4
2014-07-25,61,58,60,62,57,62,59.6
2014-07-26,61,58,58,61,56,61,58.8
2014-07-27,58,54,56,59,55,59,56.4
2014-07-28,55,52,53,56,55,56,54.2
2014-07-29,52,52,53,57,55,57,53.8
2014-07-30,57,57,53,58,57,58,56.4
2014-07-31,56,56,55,58,55,58,56.0
2014-08-01,45,42,43,48,43,48,44.2
2014-08-02,56,54,53,56,55,56,54.8
2014-08-03,59,57,57,59,57,59,57.8
2014-08-04,58,56,57,59,57,59,57.4
2014-08-05,56,57,56,59,56,59,56.8
2014-08-06,45,48,45,53,43,53,46.8
2014-08-07,46,49,45,52,42,52,46.8
2014-08-08,40,39,43,49,46,49,43.4
2014-08-09,41,40,40,44,47,47,42.4
2014-08-10,37,29,29,39,29,39,32.6
2014-08-11,43,41,31,41,35,43,38.2
2014-08-12,48,44,39,52,44,52,45.4
2014-08-13,55,52,49,53,52,55,52.2
2014-08-14,54,52,48,53,52,54,51.8
2014-08-15,54,53,53,52,53,54,53.0
2014-08-16,65,58,57,65,65,65,62.0
2014-08-17,62,56,55,64,63,64,60.0
2014-08-18,58,54,55,60,55,60,56.4
2014-08-19,59,57,57,61,58,61,58.4
2014-08-20,62,57,58,65,59,65,60.2
2014-08-21,62,59,59,65,60,65,61.0
2014-08-22,63,60,59,65,61,65,61.6
2014-08-23,55,52,50,60,52,60,53.8
2014-08-24,59,57,54,56,56,59,56.4
2014-08-25,59,60,59,61,59,61,59.6
2014-08-26,64,61,60,63,63,64,62.2
2014-08-27,62,60,59,61,62,62,60.8
2014-08-28,59,55,54,55,56,59,55.8
2014-08-29,56,55,53,58,54,58,55.2
2014-08-30,62,57,57,62,56,62,58.8
2014-08-31,62,55,54,61,55,62,57.4
2014-09-01,62,61,60,65,59,65,61.4
2014-09-02,63,61,61,65,62,65,62.4
2014-09-03,68,66,65,68,67,68,66.8
2014-09-04,75,72,69,73,71,75,72.0
2014-09-05,73,71,69,75,71,75,71.8
2014-09-06,64,62,63,61,63,64,62.6
2014-09-07,58,51,53,56,53,58,54.2
2014-09-08,65,66,65,65,65,66,65.2
2014-09-09,65,66,64,65,66,66,65.2
2014-09-10,65,64,65,63,63,65,64.0
2014-09-11,63,64,61,64,63,64,63.0
2014-09-12,69,66,63,70,68,70,67.2
2014-09-13,66,66,68,70,67,70,67.4
2014-09-14,67,67,68,78,66,78,69.2
2014-09-15,80,87,86,107,81,107,88.2
2014-09-16,76,84,82,97,80,97,83.8
2014-09-17,68,69,68,73,66,73,68.8
2014-09-18,99,103,99,99,97,103,99.4
2014-09-19,102,105,101,98,98,105,100.8
2014-09-20,86,88,84,89,83,89,86.0
2014-09-21,68,68,70,64,67,70,67.4
2014-09-22,92,85,89,88,89,92,88.6
2014-09-23,78,69,72,77,74,78,74.0
2014-09-24,70,70,69,73,68,73,70.0
2014-09-25,69,69,67,70,67,70,68.4
2014-09-26,69,65,65,71,66,71,67.2
2014-09-27,67,67,66,78,66,78,68.8
2014-09-28,74,71,71,81,72,81,73.8
2014-09-29,74,71,71,80,73,80,73.8
2014-09-30,75,74,72,79,71,79,74.2
2014-10-01,83,79,76,89,77,89,80.8
2014-10-02,75,76,73,81,72,81,75.4
2014-10-03,74,76,73,79,72,79,74.8
2014-10-04,71,75,71,76,69,76,72.4
2014-10-05,65,64,67,64,63,67,64.6
2014-10-06,91,107,99,102,96,107,99.0
2014-10-07,107,124,116,125,113,125,117.0
2014-10-08,81,85,81,91,80,91,83.6
2014-10-09,80,85,81,92,80,92,83.6
2014-10-10,64,63,63,70,60,70,64.0
2014-10-11,82,93,89,93,85,93,88.4
2014-10-12,92,105,102,103,96,105,99.6
2014-10-13,81,93,86,91,83,93,86.8
2014-10-14,69,69,67,80,68,80,70.6
2014-10-15,71,78,71,82,74,82,75.2
2014-10-16,70,76,71,83,73,83,74.6
2014-10-17,62,65,62,70,61,70,64.0
2014-10-18,71,76,76,70,73,76,73.2
2014-10-19,88,102,96,102,88,102,95.2
2014-10-20,89,95,91,106,85,106,93.2
2014-10-21,80,78,80,95,75,95,81.6
2014-10-22,70,72,70,75,68,75,71.0
2014-10-23,75,78,77,80,78,80,77.6
2014-10-24,76,77,78,79,78,79,77.6
2014-10-25,76,74,71,79,70,79,74.0
2014-10-26,70,67,68,78,64,78,69.4
2014-10-27,64,58,63,65,57,65,61.4
2014-10-28,65,71,73,66,68,73,68.6
2014-10-29,69,76,74,86,75,86,76.0
2014-10-30,71,67,72,79,67,79,71.2
2014-10-31,68,75,74,76,69,76,72.4
2014-11-01,71,72,67,66,69,72,69.0
2014-11-02,85,91,89,90,87,91,88.4
2014-11-03,108,115,105,120,106,120,110.8
2014-11-04,91,91,82,95,83,95,88.4
2014-11-05,71,77,74,79,72,79,74.6
2014-11-06,68,69,72,74,68,74,70.2
2014-11-07,67,66,66,66,63,67,65.6
2014-11-08,56,62,61,58,57,62,58.8
2014-11-09,54,59,57,54,54,59,55.6
2014-11-10,62,65,66,70,62,70,65.0
