Epi_Week,Date_Range,Week_Start,Week_End,dis_Dengue,dis_HFMD,dis_ARI,dis_Diarrhoea
1,1/1/2023 - 7/1/2023,2023-01-01,2023-01-07,279.0,9.555555555555555,2559.5555555555557,352.0
2,8/1/2023 - 14/1/2023,2023-01-08,2023-01-14,278.0,14.363636363636363,2400.181818181818,375.09090909090907
3,15/1/2023 - 21/1/2023,2023-01-15,2023-01-21,272.0,15.272727272727273,2404.5454545454545,382.3636363636364
4,22/1/2023 - 28/1/2023,2023-01-22,2023-01-28,186.0,20.857142857142858,2804.5714285714284,409.42857142857144
5,29/1/2023 - 4/2/2023,2023-01-29,2023-02-04,223.0,24.727272727272727,2795.4545454545455,406.90909090909093
6,5/2/2023 - 11/2/2023,2023-02-05,2023-02-11,218.0,24.545454545454547,2740.5454545454545,368.90909090909093
7,12/2/2023 - 18/2/2023,2023-02-12,2023-02-18,148.0,23.272727272727273,2589.818181818182,375.8181818181818
8,19/2/2023 - 25/2/2023,2023-02-19,2023-02-25,138.0,22.0,2694.3636363636365,384.54545454545456
9,26/2/2023 - 4/3/2023,2023-02-26,2023-03-04,111.0,28.545454545454547,2534.909090909091,345.09090909090907
10,5/3/2023 - 11/3/2023,2023-03-05,2023-03-11,119.0,22.363636363636363,2823.2727272727275,341.8181818181818
11,12/3/2023 - 18/3/2023,2023-03-12,2023-03-18,149.0,24.0,2592.181818181818,324.3636363636364
12,19/3/2023 - 25/3/2023,2023-03-19,2023-03-25,128.0,22.363636363636363,2768.7272727272725,387.09090909090907
13,26/3/2023 - 1/4/2023,2023-03-26,2023-04-01,108.0,21.818181818181817,2825.818181818182,367.09090909090907
14,2/4/2023 - 8/4/2023,2023-04-02,2023-04-08,116.0,27.333333333333332,3025.5555555555557,399.3333333333333
15,9/4/2023 - 15/4/2023,2023-04-09,2023-04-15,132.0,27.09090909090909,3115.090909090909,344.72727272727275
16,16/4/2023 - 22/4/2023,2023-04-16,2023-04-22,113.0,22.2,3025.2,370.6
17,23/4/2023 - 29/4/2023,2023-04-23,2023-04-29,128.0,21.454545454545453,2736.7272727272725,340.90909090909093
18,30/4/2023 - 6/5/2023,2023-04-30,2023-05-06,118.0,22.0,2779.1111111111113,341.1111111111111
19,7/5/2023 - 13/5/2023,2023-05-07,2023-05-13,100.0,29.272727272727273,2548.181818181818,328.54545454545456
20,14/5/2023 - 20/5/2023,2023-05-14,2023-05-20,121.0,31.636363636363637,2478.7272727272725,346.3636363636364
21,21/5/2023 - 27/5/2023,2023-05-21,2023-05-27,133.0,28.545454545454547,2300.181818181818,297.8181818181818
22,28/5/2023 - 3/6/2023,2023-05-28,2023-06-03,111.0,26.666666666666668,2145.1111111111113,311.1111111111111
23,4/6/2023 - 10/6/2023,2023-06-04,2023-06-10,162.0,24.181818181818183,1912.909090909091,294.0
24,11/6/2023 - 17/6/2023,2023-06-11,2023-06-17,270.0,18.727272727272727,1831.8181818181818,294.90909090909093
25,18/6/2023 - 24/6/2023,2023-06-18,2023-06-24,214.0,19.272727272727273,1885.2727272727273,304.3636363636364
26,25/6/2023 - 1/7/2023,2023-06-25,2023-07-01,271.0,25.77777777777778,2122.222222222222,368.22222222222223
27,2/7/2023 - 8/7/2023,2023-07-02,2023-07-08,235.0,21.454545454545453,2211.090909090909,402.72727272727275
28,9/7/2023 - 15/7/2023,2023-07-09,2023-07-15,208.0,22.727272727272727,2448.5454545454545,399.6363636363636
29,16/7/2023 - 22/7/2023,2023-07-16,2023-07-22,200.0,23.09090909090909,2645.2727272727275,377.09090909090907
