date,day,holiday
01/01/2020,Wednesday,New Year's Day
25/01/2020,Saturday,"Chinese New Year
"
26/01/2020,Sunday,"Chinese New Year
"
10/04/2020,Friday,Good Friday
01/05/2020,Friday,Labour Day
07/05/2020,Thursday,Vesak Day
24/05/2020,Sunday,Hari Raya Puasa
10/07/2020,Friday,Polling Day
31/07/2020,Friday,Hari Raya Haji
09/08/2020,Sunday,National Day
14/11/2020,Saturday,Deepavali
25/12/2020,Friday,Christmas Day
01/01/2021,Friday,New Year's Day
12/02/2021,Friday,Chinese New Year
13/02/2021,Saturday,Chinese New Year
02/04/2021,Friday,Good Friday
01/05/2021,Saturday,Labour Day
13/05/2021,Thursday,Hari Raya Puasa
26/05/2021,Wednesday,Vesak Day
20/07/2021,Tuesday,Hari Raya Haji
09/08/2021,Monday,National Day
04/11/2021,Thursday,Deepavali
25/12/2021,Saturday,Christmas Day
01/01/2022,Saturday,New Year's Day
01/02/2022,Tuesday,Chinese New Year
02/02/2022,Wednesday,Chinese New Year
15/04/2022,Friday,Good Friday
01/05/2022,Sunday,Labour Day
03/05/2022,Tuesday,Hari Raya Puasa
15/05/2022,Sunday,Vesak Day
10/07/2022,Sunday,Hari Raya Haji
09/08/2022,Tuesday,National Day
24/10/2022,Monday,Deepavali
25/12/2022,Sunday,Christmas Day
01/01/2023,Sunday,New Year's Day
22/01/2023,Sunday,Chinese New Year
23/01/2023,Monday,Chinese New Year
07/04/2023,Friday,Good Friday
22/04/2023,Saturday,Hari Raya Puasa
01/05/2023,Monday,Labour Day
02/06/2023,Friday,Vesak Day
29/06/2023,Thursday,Hari Raya Haji
09/08/2023,Wednesday,National Day
01/09/2023,Friday,Polling Day
12/11/2023,Sunday,Deepavali
25/12/2023,Monday,Christmas Day
01/01/2024,Monday,New Year's Day
10/02/2024,Saturday,Chinese New Year
11/02/2024,Sunday,Chinese New Year
29/03/2024,Friday,Good Friday
10/04/2024,Wednesday,Hari Raya Puasa
01/05/2024,Wednesday,Labour Day
22/05/2024,Wednesday,Vesak Day
17/06/2024,Monday,Hari Raya Haji
09/08/2024,Friday,National Day
31/10/2024,Thursday,Deepavali
25/12/2024,Wednesday,Christmas Day
01/01/2025,Wednesday,New Year's Day
29/01/2025,Wednesday,Chinese New Year
30/01/2025,Thursday,Chinese New Year
31/03/2025,Monday,Hari Raya Puasa
18/04/2025,Friday,Good Friday
01/05/2025,Thursday,Labour Day
03/05/2025,Saturday,Polling Day
12/05/2025,Monday,Vesak Day
07/06/2025,Saturday,Hari Raya Haji
09/08/2025,Saturday,National Day
20/10/2025,Monday,Deepavali
25/12/2025,Thursday,Christmas Day
01/01/2026,Thursday,New Year’s Day
17/02/2026,Tuesday,Chinese New Year
18/02/2026,Wednesday,Chinese New Year
21/03/2026,Saturday,Hari Raya Puasa
03/04/2026,Friday,Good Friday
01/05/2026,Friday,Labour Day
27/05/2026,Wednesday,Hari Raya Haji
31/05/2026,Sunday,Vesak Day
09/08/2026,Sunday,National Day
08/11/2026,Sunday,Deepavali
25/12/2026,Friday,Christmas Day
